	C-m	C-n	IG-n	IG-m	IG-m 44
TMEM50A	1172	3181	2133	1084	610
RHCE	1	3	0	4	3
RP3-469D22.1	1	7	0	0	1
TMEM57	448	865	514	221	184
LDLRAP1	1398	537	643	1479	529
RP11-70P17.1	3	0	2	22	5
MAN1C1	1098	5	7	286	204
RP1-187B23.1	0	0	0	2	7
SEPN1	1273	4373	3728	564	498
RP1-317E23.6	0	0	0	0	0
RP1-317E23.3	82	34	24	62	163
MTFR1L	1783	827	882	2106	773
RP1-317E23.7	0	0	0	0	0
AUNIP	41	173	91	40	12
RP1-125I3.2	1	0	0	0	5
PAQR7	547	707	461	844	195
STMN1	4838	10339	6536	7165	2106
SNRPFP2	1	0	0	0	2
RP1-125I3.4	2	0	0	2	4
PAFAH2	673	530	393	377	398
RNU6-110P	0	0	0	0	0
SCARNA17	17	2	0	43	39
SCARNA18	6	0	1	8	24
EXTL1	114	6	52	935	384
SLC30A2	117	1	0	91	69
TRIM63	6	0	0	415	93
PDIK1L	175	139	127	123	91
FAM110D	3	2	1	9	6
RP11-96L14.8	0	0	0	0	0
RP11-96L14.7	16	14	3	77	18
ZNF593	65	147	108	444	42
CNKSR1	38	323	8	33	12
CATSPER4	1	1	0	13	7
RP11-231P20.2	9	10	5	15	9
RP11-231P20.6	0	0	1	1	1
CEP85	197	729	652	147	159
RP11-231P20.5	1	2	2	0	2
SH3BGRL3	2756	6138	5877	2105	635
UBXN11	226	360	222	316	83
CD52	2	0	0	4	4
AIM1L	71	95	2	5	15
RP11-569G9.7	0	1	0	0	0
ZNF683	0	0	0	0	0
LIN28A	12	1	0	0	5
DHDDS	449	1214	1184	610	422
RP3-476K8.4	5	0	0	0	1
RP3-476K8.3	6	6	3	15	19
HMGN2	555	7409	7011	990	513
DPPA2P2	0	0	0	0	0
RPS6KA1	621	2588	753	212	103
MIR1976	0	0	0	0	0
RN7SL679P	0	0	0	0	0
RNU7-29P	0	0	0	0	0
RP11-492M19.3	0	0	0	0	0
snoU13	7	33	8	1	20
RP4-785J1.1	0	0	0	0	0
RP5-968P14.2	45	28	13	34	54
ARID1A	934	3477	2265	408	574
PIGV	252	406	390	366	224
RN7SL165P	0	0	0	0	1
ZDHHC18	1200	968	545	510	224
SFN	29	1625	23	3	7
RP1-50O24.6	0	0	0	0	0
GPN2	484	1013	741	779	380
GPATCH3	245	355	221	394	158
NUDC	1589	4479	2649	2888	543
NR0B2	36	5	1	0	8
KDF1	0	54	0	0	0
RPL12P13	0	1	1	0	0
RP11-344H11.5	0	0	0	0	0
OSTCP2	0	0	0	0	0
TRNP1	346	3321	281	32	16
FAM46B	22	300	96	36	15
AL137860.1	0	0	0	0	1
SLC9A1	1048	1886	1089	496	401
RP11-40H20.5	0	0	0	0	0
CHCHD3P3	1	3	0	0	2
NPM1P39	3	14	9	3	0
SNRPEP7	0	0	0	0	0
RP11-40H20.4	0	0	0	0	0
WDTC1	596	1519	1085	357	346
RP11-4K3__A.3	1	0	0	5	1
TMEM222	201	1127	709	365	77
RNU6-48P	1	2	1	4	2
ACTG1P20	13	10	17	13	13
SYTL1	192	800	266	121	29
MAP3K6	236	1181	828	231	92
FCN3	4	2	2	0	1
CD164L2	1	8	1	0	4
RP1-144C9.2	0	0	0	0	2
GPR3	61	68	74	13	15
WASF2	2737	4933	4199	1443	2133
RP4-752I6.1	0	0	0	0	4
RP1-159A19.4	1	0	7	2	32
AHDC1	1102	1225	1778	1605	1552
FGR	0	1	0	0	9
RP1-159A19.3	4	6	0	10	2
RP11-288L9.1	0	0	0	2	16
IFI6	1036	686	351	3458	4222
RP11-288L9.4	5	14	0	2	220
RNU6-949P	0	0	0	0	0
CHMP1AP1	0	0	0	0	4
RNU6-424P	0	0	0	0	0
FAM76A	120	240	175	117	133
RP3-426I6.2	3	5	2	0	1
RPEP3	0	0	0	0	0
STX12	1131	1326	1010	578	476
RP3-426I6.5	0	0	0	22	5
RP3-426I6.6	0	4	6	2	1
RNU6-1245P	0	0	0	0	0
PPP1R8	620	1335	946	624	328
SCARNA1	0	0	0	0	5
AL109927.1	0	0	0	0	0
THEMIS2	141	129	216	549	465
RPA2	705	1004	802	948	360
SMPDL3B	57	163	6	2	8
RP11-460I13.2	0	1	2	0	1
XKR8	71	522	340	58	18
EYA3	783	920	556	352	383
RP11-460I13.6	0	1	0	0	3
RN7SL559P	2	4	0	0	3
SPCS2P4	4	8	11	5	3
RP5-1053E7.2	0	0	0	0	0
RP5-1053E7.3	0	0	0	0	0
RNU6-176P	0	0	0	0	0
PTAFR	19	71	5	14	16
DNAJC8	1839	3137	2553	2045	625
ATPIF1	1192	2125	1845	2004	394
RP5-1092A3.4	109	35	13	61	32
RP5-1092A3.5	2	2	0	2	2
SESN2	1178	1292	358	529	310
MED18	328	394	414	524	147
PHACTR4	645	2295	1764	381	1021
RP1-308E4.1	0	0	0	0	2
RNU6ATAC27P	2	0	0	0	2
RCC1	369	3031	1648	235	251
SNHG3	1293	1492	918	1108	1289
SNORA73A	0	0	0	0	0
SNORA73B	8	44	44	15	10
PRDX3P2	1	2	2	0	4
RP4-669K10.8	14	22	34	10	17
TRNAU1AP	140	422	354	289	78
SNHG12	67	545	264	154	91
SNORD99	1	12	12	0	4
SNORA61	12	107	51	42	31
SNORA44	3	30	12	1	6
SNORA16A	2	46	34	4	7
TAF12	301	498	357	202	110
RAB42	3	302	16	2	4
RP11-442N24__B.1	6	3	7	7	37
RNU11	1	0	0	11	400
GMEB1	196	531	368	144	102
SCARNA24	0	1	8	1	2
YTHDF2	1258	3543	2042	883	499
OPRD1	60	1	0	25	27
RP1-212P9.3	1	0	0	0	0
EPB41	194	814	462	19	73
RP4-604A21.1	0	2	0	0	2
Metazoa_SRP	51	44	25	120	317
TMEM200B	0	251	380	1	18
RP11-242O24.3	0	0	0	0	1
SRSF4	913	1976	1876	829	432
uc_338	92	134	56	29	55
MECR	594	594	398	484	154
RP11-467D18.2	1	5	3	0	10
PTPRU	5194	2591	1478	1346	1051
RP3-437I16.1	0	1	0	0	2
RP11-810H18.1	0	0	0	0	0
RP4-656G21.1	1	1	0	0	3
RP11-179G8.1	0	0	0	0	1
RP11-111I12.1	0	0	0	0	0
RP5-893G23.1	0	0	0	0	0
RP3-357I16.1	0	0	0	0	0
RP4-591L5.1	0	0	0	0	0
RP4-591L5.2	0	0	0	0	0
MATN1	7	14	3	7	7
MATN1-AS1	22	11	21	6	8
LAPTM5	88	53	3	1	11
MIR4420	0	0	0	0	0
RP5-1125N11.1	0	0	0	0	0
RP5-1125N11.2	16	0	0	2	7
RN7SKP91	0	0	0	0	0
RP1-65J11.5	0	0	0	0	1
SDC3	1033	4450	2415	229	169
RN7SL371P	0	0	0	0	0
PUM1	1779	3561	2010	598	861
RP11-201O14.1	0	0	0	0	7
RP11-201O14.2	0	0	0	0	3
SEPW1P	0	0	0	0	2
RP11-490K7.1	0	0	1	0	0
NKAIN1	319	7	3	16	10
SNRNP40	437	985	865	601	254
RP11-490K7.4	3	9	2	0	2
ZCCHC17	617	757	643	602	217
RP11-266K22.2	1	0	0	0	0
FABP3	6858	136	126	9432	2213
SERINC2	6383	4478	5795	6690	2695
RP11-439L8.2	0	0	0	0	3
RNU6-40P	0	0	0	0	2
LINC01225	11	0	0	17	56
RP11-73M7.1	5	11	3	1	8
TINAGL1	1384	6271	2213	787	459
HCRTR1	4	5	1	6	5
PEF1	1123	2166	1487	1593	502
RP11-73M7.6	12	11	4	85	82
RP11-73M7.9	2	2	0	1	2
COL16A1	93	718	530	1390	1023
ADGRB2	394	356	581	1452	815
MIR4254	0	1	1	0	1
RP11-84A19.3	9	11	13	1	0
SPOCD1	181	872	680	103	62
RP11-84A19.2	0	0	0	0	1
RP11-84A19.4	1	0	2	0	7
PTP4A2	2179	4131	3532	2173	1181
RP4-534N18.2	2	1	0	0	12
KHDRBS1	2372	7048	4592	1639	1155
RP11-277A4.4	3	5	0	0	6
TMEM39B	152	503	367	196	90
MIR5585	1	0	0	0	1
KPNA6	1232	2323	2550	922	1045
RP4-622L5.2	0	0	0	0	0
TXLNA	2004	3283	2823	1950	1516
CCDC28B	390	162	143	1272	169
RP4-622L5.7	19	11	10	36	14
IQCC	51	71	109	61	53
DCDC2B	82	102	87	70	72
TMEM234	209	373	340	376	133
EIF3I	1608	6736	4486	1292	443
MTMR9LP	79	161	155	244	110
FAM167B	38	16	13	107	18
LCK	0	6	0	5	1
HDAC1	1461	3898	2625	878	369
MARCKSL1	809	4279	890	379	166
RP4-811H24.9	5	0	0	2	19
TSSK3	45	88	31	87	30
FAM229A	15	40	16	79	12
BSDC1	1680	1973	1161	1546	1029
GAPDHP20	0	0	0	0	8
RP11-395N6.4	0	1	0	0	0
LRRC37A12P	1	0	0	0	0
RN7SL122P	0	0	0	0	0
RP1-27O5.3	0	0	0	3	3
ZBTB8B	1	4	1	3	15
ZBTB8A	76	226	135	41	49
ZBTB8OS	613	545	383	1089	379
RBBP4	3419	4601	2657	1904	2005
SYNC	165	521	233	144	373
RP11-114B7.6	0	0	4	0	3
KIAA1522	1364	5682	1156	1194	925
YARS	1426	3762	2669	1157	553
S100PBP	267	447	601	242	281
FNDC5	736	10	7	3754	1658
HPCA	5	17	3	4	2
TMEM54	216	1402	572	104	13
RNF19B	365	649	399	341	335
RP5-1174N9.2	0	0	0	10	5
RP4-803A2.1	2	0	0	0	1
RP4-803A2.2	1	0	2	0	7
RP1-117O3.2	0	1	1	1	9
AK2	1488	3140	2399	1507	806
AZIN2	119	85	52	123	89
RP11-131M11.2	5	1	0	7	3
TRIM62	285	388	414	313	174
RP11-131M11.3	20	10	12	20	18
ZNF362	325	734	551	190	90
RP11-415J8.7	4	0	1	28	12
A3GALT2	2	3	2	2	5
RP11-415J8.3	61	88	109	13	17
PHC2	608	6729	7032	638	352
RN7SKP16	4	5	14	0	4
RP11-415J8.5	5	0	1	0	15
TLR12P	0	0	0	0	0
ZSCAN20	93	140	131	28	67
RP4-580O19.2	6	0	0	0	0
CSMD2	8	12	7	7	12
HSPD1P14	0	0	0	0	0
HMGB4	0	0	0	0	0
CSMD2-AS1	0	0	0	0	0
RNA5SP42	0	0	0	0	0
C1orf94	0	2	0	0	0
RP4-657M3.2	0	0	0	0	0
MIR552	0	0	0	0	0
SMIM12	739	1157	742	907	300
GJB5	2	8	1	0	0
GJB4	7	35	1	0	0
RP1-34M23.5	0	0	0	0	1
GJB3	17	359	5	0	6
GJA4	0	9	0	0	6
RP5-997D16.2	62	17	18	38	18
DLGAP3	49	17	2	18	13
RP11-244H3.1	87	84	56	87	42
RP11-244H3.4	0	0	0	0	0
TMEM35B	1	23	16	22	1
ZMYM6	225	306	236	178	145
RPL12P45	0	0	0	0	0
ZMYM1	75	363	435	34	66
EFCAB14P1	0	0	0	0	0
SFPQ	3222	11235	8148	2413	1812
ZMYM4	1002	1850	1796	467	493
RN7SL503P	0	0	0	0	0
SNORA62	3	48	12	1	34
RPL5P4	6	4	1	2	3
ZMYM4-AS1	0	1	0	0	2
KIAA0319L	2675	2672	2537	2827	1982
RP4-728D4.3	0	0	0	0	0
NCDN	1225	1708	2024	2471	1327
RP4-728D4.2	4	4	0	0	8
TFAP2E	34	72	16	140	73
PSMB2	4447	4259	3026	2738	1363
C1orf216	248	648	771	559	241
CLSPN	10	752	856	20	38
RP11-435D7.3	2	0	2	0	2
AGO4	290	563	364	164	236
AGO1	488	957	953	200	182
RP4-789D17.4	0	0	0	0	0
RP4-789D17.5	0	0	0	0	0
AGO3	277	423	308	157	241
RP4-665N4.8	0	0	2	1	1
RP4-665N4.4	8	1	0	9	27
TEKT2	6	22	2	6	35
ADPRHL2	723	1473	1011	1085	761
COL8A2	8	41	9	29	41
TRAPPC3	703	1691	1049	922	308
MAP7D1	2165	9154	5503	3814	1282
RN7SL131P	0	0	0	0	0
THRAP3	1970	6022	4326	1088	1451
UBE2V2P4	0	0	0	0	2
SH3D21	82	317	188	61	112
EVA1B	182	1467	1328	1101	144
RP11-268J15.5	69	117	84	111	79
STK40	448	1382	631	573	291
LSM10	196	603	474	607	107
RNU4-27P	0	0	0	0	1
OSCP1	62	99	102	81	16
SNORA63	28	52	48	13	27
MRPS15	697	1641	1199	946	245
CSF3R	3	1	0	4	23
FTLP18	0	0	0	0	0
RP4-614N24.1	0	0	0	0	0
GRIK3	4	1	0	2	3
MIR4255	0	1	0	0	0
RNU6-636P	0	0	0	0	0
RP5-1180C18.1	0	0	0	0	0
RNA5SP43	0	0	0	0	0
RPS29P6	0	0	0	0	0
LINC01137	47	111	65	86	29
ZC3H12A	195	1072	220	129	128
MEAF6	623	1124	742	380	189
MIR5581	1	3	9	0	1
SNIP1	200	354	343	163	183
FTH1P1	8	2	0	2	7
RP3-423B22.5	4	0	0	1	0
DNALI1	136	218	119	200	80
GNL2	499	1798	1493	872	369
RSPO1	0	0	0	0	0
C1orf109	299	348	373	223	280
CDCA8	12	1425	1526	18	22
EPHA10	7	11	1	1	2
ACTN4P2	0	0	0	0	1
RP11-109P14.2	0	0	0	0	0
MANEAL	59	38	22	25	22
RP11-109P14.9	0	0	0	0	0
YRDC	500	602	468	521	350
C1orf122	415	1399	1074	3026	449
MTF1	313	677	537	206	234
RP11-109P14.8	0	0	0	0	0
RP11-109P14.10	0	0	0	0	0
INPP5B	255	478	402	111	194
RNU6-584P	0	0	0	0	4
SF3A3	1681	2908	2223	1864	842
RNU6-510P	5	11	1	1	6
FHL3	239	635	399	906	271
UTP11	805	985	881	1251	515
POU3F1	12	4	0	44	76
RP5-884C9.2	9	0	1	70	40
RP5-884C9.3	0	0	0	0	3
MIR3659	0	0	0	0	1
LINC01343	0	0	0	0	6
RP11-329N22.2	0	0	0	0	3
RNU6-753P	0	0	0	0	0
RP11-329N22.1	0	0	0	2	37
RP11-334L9.1	5	0	3	0	0
RRAGC	862	705	587	1016	427
RP5-864K19.7	0	0	0	0	3
RP5-864K19.4	33	18	15	30	31
MYCBP	509	490	318	576	263
RP5-864K19.6	3	0	0	6	1
GJA9	15	5	1	3	46
RHBDL2	19	39	24	24	11
RNU6-605P	0	0	2	0	0
EIF1P2	0	0	0	0	2
AKIRIN1	1339	2424	2074	513	449
NDUFS5	1625	2813	2025	3639	627
MACF1	10577	16075	8849	5589	17652
RNU6-608P	0	0	0	0	0
RNA5SP44	0	0	0	0	7
RP11-416A14.1	0	0	0	4	15
RP11-420K8.1	1	0	0	1	9
HSPE1P8	0	1	0	0	1
BMP8A	10	12	12	13	27
OXCT2P1	8	24	18	12	15
RP11-69E11.4	39	64	53	71	59
PPIEL	14	46	42	22	29
PABPC4	1702	7029	3944	1607	1169
RP11-69E11.8	2	10	4	0	10
SNORA55	13	14	7	0	39
HEYL	72	12	19	1526	1543
RP1-144F13.3	2	0	0	9	15
NT5C1A	0	0	0	6	15
HPCAL4	130	3	0	6	18
PPIE	582	1036	779	1172	335
RP1-144F13.4	2	0	0	0	6
RNU7-121P	0	0	0	0	0
BMP8B	116	16	14	422	307
OXCT2	15	17	1	48	19
RP1-118J21.25	13	2	0	101	25
RP1-118J21.24	0	0	0	0	0
TRIT1	338	464	323	446	293
MYCL	557	18	2	650	554
RP1-118J21.5	6	0	1	10	17
MFSD2A	93	410	253	553	205
RP3-342P20.2	3	11	6	1	10
CAP1	11681	20486	12284	4046	3794
PPT1	1134	2261	2626	1508	966
RP11-115D7.3	0	0	0	0	3
RLF	372	531	500	177	312
RNU6-1237P	0	0	0	0	0
TMCO2	0	0	0	0	1
RP1-39G22.7	158	84	96	215	211
ZMPSTE24	1949	2582	2254	693	866
RP1-39G22.4	1	3	3	0	6
COL9A2	21	120	16	772	243
RP1-228H13.1	0	0	0	0	0
SMAP2	220	426	508	142	112
RP1-228H13.2	0	0	0	0	0
ZFP69B	30	107	76	7	12
RP1-228H13.5	29	67	64	8	14
RP11-656D10.7	4	2	2	1	1
ZFP69	46	95	70	33	23
RP11-656D10.3	10	5	2	0	4
EXO5	87	191	120	58	38
RP11-656D10.5	0	1	0	0	0
RP11-656D10.6	19	9	7	7	3
ZNF684	31	62	78	41	18
RP1-63P18.2	0	0	0	0	0
GTF2F2P2	0	0	0	0	0
RIMS3	320	136	24	86	55
RP4-739H11.3	4	1	1	2	4
NFYC-AS1	67	32	19	54	144
NFYC	832	1173	830	726	288
MIR30E	1	0	0	0	0
MIR30C1	0	0	0	0	0
KCNQ4	936	118	7	518	371
RN7SL326P	0	0	0	0	0
CITED4	116	2375	1042	162	32
RP5-1066H13.4	0	0	0	2	1
RP11-348A7.1	0	0	0	0	1
UBE2V1P8	0	0	0	0	0
CTPS1	1606	2495	3876	648	753
SLFNL1-AS1	20	29	68	3	22
SLFNL1	14	16	51	1	8
SCMH1	162	939	698	127	142
RPL23AP17	0	0	0	0	0
RP11-399E6.1	8	0	0	0	8
RP11-399E6.2	1	0	0	1	2
FOXO6	306	28	7	544	287
RP11-399E6.4	9	3	0	3	17
RNA5SP45	0	0	0	0	0
EDN2	172	88	6	147	83
HIVEP3	89	608	467	61	191
RP11-486B10.3	0	0	0	0	1
RP11-486B10.4	0	0	0	0	9
HNRNPFP1	0	0	0	0	0
RP11-319C21.1	0	0	0	0	0
GUCA2B	0	0	0	0	0
GUCA2A	1	0	2	0	2
FOXJ3	1168	1287	1228	655	908
RP11-223A3.1	15	4	1	66	26
RIMKLA	17	20	1	7	9
RP11-157D18.2	0	0	0	0	0
ZMYND12	22	7	10	30	73
PPCS	707	871	826	788	335
CCDC30	23	17	6	28	11
RP11-163G10.2	0	0	0	0	0
TMSB4XP1	4	6	0	3	0
RNU6-536P	0	0	0	0	0
RP11-163G10.4	2	0	0	0	0
PPIH	92	546	371	239	100
RP5-994D16.3	11	0	3	39	71
YBX1	11636	22043	13187	9261	3758
CLDN19	2	14	0	4	3
P3H1	1451	2597	3374	2252	817
C1orf50	15	18	11	36	16
RP5-994D16.12	0	0	1	4	0
RP5-994D16.9	12	28	9	19	17
RP5-994D16.11	7	3	1	16	14
SVBP	178	312	141	380	84
ERMAP	186	353	276	137	139
RP11-342M1.3	10	9	6	15	15
ZNF691	171	131	138	454	205
RP11-342M1.7	0	0	0	18	3
RP11-342M1.6	2	0	0	3	4
ATP6V1E1P1	4	1	1	0	1
SLC2A1	2026	10436	1521	672	872
SLC2A1-AS1	79	35	8	63	86
RNU6-880P	1	0	0	0	1
RP3-393B19.1	0	0	0	0	0
FAM183A	4	3	13	32	9
EBNA1BP2	548	2424	1567	1824	530
CFAP57	22	8	7	102	113
RNA5SP46	0	0	0	0	1
TMEM125	1	37	4	14	0
C1orf210	2	4	0	0	1
TIE1	277	7	11	73	94
MPL	7	14	1	3	15
RP1-92O14.3	5	5	2	6	26
CDC20	30	5139	3653	311	142
ELOVL1	1029	3755	3091	1525	741
MED8	330	774	767	859	422
RP1-92O14.6	12	18	18	6	21
SZT2	452	1424	1110	319	797
SZT2-AS1	0	0	1	0	0
MIR6735	0	0	0	0	0
HYI	111	711	177	166	42
HYI-AS1	6	1	2	6	12
PTPRF	3143	13050	1329	545	939
KDM4A	463	1688	1020	250	235
KDM4A-AS1	24	39	21	23	18
ST3GAL3	226	462	256	327	94
RP11-184I16.4	2	1	2	0	2
RP11-184I16.3	1	0	0	0	0
MIR6079	0	0	0	0	1
SHMT1P1	0	0	0	0	2
ARTN	11	13	10	10	13
RP11-7O11.3	3	3	10	2	5
IPO13	990	1625	1275	1272	475
DPH2	162	1468	688	138	86
ATP6V0B	2543	2218	2083	9992	3040
B4GALT2	207	2052	1622	678	227
CCDC24	82	274	215	167	30
SLC6A9	17	65	254	26	31
RP5-1198O20.4	1	0	36	3	2
RP5-1198O20.5	0	0	0	0	1
KRT8P47	0	0	0	0	0
RN7SL479P	0	0	0	0	0
KLF17	0	0	13	19	17
RP11-570P14.1	2	4	3	1	0
KLF18	3	0	0	32	182
RP4-675G8.3	0	0	0	0	5
OOSP1P1	0	0	0	0	2
RP5-891H21.1	0	0	0	0	0
RP5-891H21.5	1	0	0	0	0
DMAP1	454	843	714	1518	209
ERI3	411	1420	894	744	214
ERI3-IT1	1	0	2	0	1
RNU6-369P	0	0	0	0	0
RNF220	361	1019	781	765	345
MIR5584	0	0	0	0	0
TMEM53	311	315	183	268	70
C1orf228	84	5	13	105	40
RNU5F-1	3	0	0	0	22
RNU5D-1	3	0	1	2	218
KIF2C	23	1743	2146	41	73
RP11-269F19.2	5	23	16	9	12
RPS8	2233	17778	13527	8529	2009
SNORD55	8	13	9	12	0
SNORD46	0	9	5	7	1
SNORD38A	5	4	5	20	5
SNORD38B	2	10	16	11	1
RPS15AP11	2	1	1	7	1
BEST4	14	18	3	73	34
PLK3	625	942	830	1625	629
TCTEX1D4	2	21	11	2	11
BTBD19	20	111	158	14	86
PTCH2	17	15	34	24	41
RNU5E-6P	0	0	0	0	0
RP5-882O7.1	0	0	0	0	2
EIF2B3	295	590	749	826	219
RNA5SP47	0	0	0	0	0
CCNB1IP1P1	1	1	0	0	1
RP5-882O7.4	0	0	0	0	1
MRPS17P1	2	0	2	3	1
HECTD3	2719	2614	1660	2654	1558
UROD	933	2666	1985	3420	695
ZSWIM5	72	29	63	54	55
OSTCP5	0	1	0	0	1
LINC01144	16	6	1	31	31
HPDL	0	135	27	12	6
MUTYH	41	407	312	76	59
TOE1	138	391	314	250	120
TESK2	10	79	60	31	37
RP11-291L19.1	0	0	0	0	2
CCDC163P	17	50	29	8	14
MMACHC	117	248	208	85	39
PRDX1	2971	10981	6398	6378	2126
HMGB1P48	0	0	0	0	0
AKR1A1	760	2740	1610	1518	346
AL355480.3	0	1	3	0	1
AL355480.1	0	0	2	0	1
NASP	570	4113	2491	926	445
AL355480.2	0	0	0	0	0
AL355480.4	0	0	0	0	1
CCDC17	9	51	7	14	24
GPBP1L1	911	2162	1519	630	559
RPS15AP10	0	4	4	0	4
RP11-767N6.2	4	4	6	0	32
TMEM69	1117	894	618	593	408
IPP	89	318	391	51	95
RP11-767N6.7	16	25	44	22	4
RP11-630I5.1	1	0	1	1	0
MAST2	1310	1917	1764	1222	819
TMA16P2	0	0	0	0	0
PIK3R3	1554	347	487	414	414
RP4-533D7.4	0	0	1	0	2
RP4-533D7.3	0	0	0	0	1
RP4-533D7.5	1	5	1	1	4
TSPAN1	84	1110	128	27	16
RP11-322N21.2	0	0	0	0	0
POMGNT1	1256	2692	2803	1444	579
LURAP1	7	30	18	2	0
RAD54L	3	602	349	7	18
LRRC41	1530	3534	2687	1331	1020
UQCRH	1239	3264	1987	2525	643
NSUN4	104	521	299	144	136
RP4-603I14.3	0	0	0	0	0
FAAH	28	204	31	171	38
FAAHP1	3	10	0	4	2
LINC01398	2	1	0	1	3
DMBX1	9	1	0	1	2
RP11-49P4.7	0	0	0	0	1
MKNK1-AS1	4	1	5	4	3
KNCN	0	1	0	0	6
MKNK1	458	973	437	334	192
MOB3C	88	298	236	108	202
ATPAF1	972	1422	1161	1396	591
NENFP1	0	0	0	0	3
TEX38	0	1	0	1	1
EFCAB14-AS1	2	1	4	0	1
EFCAB14	1732	3741	2121	712	1035
RP11-8J9.5	0	0	0	0	0
CYP4B1	0	6	0	0	2
CYP4Z2P	0	1	0	0	3
RP11-346M5.1	0	0	0	0	0
CYP4A11	0	3	0	0	0
CYP4A26P	0	0	0	0	0
CYP4A43P	0	0	0	0	0
CYP4A27P	0	0	0	0	0
CYP4A44P	0	0	0	0	0
CYP4X1	7	11	0	12	8
CYP4Z1	0	3	1	0	0
RP11-184J23.2	0	0	0	0	0
CYP4A22-AS1	5	16	5	5	4
CYP4A22	0	3	0	0	2
MTND1P34	0	0	0	0	0
LINC00853	6	11	2	7	8
PDZK1IP1	29	3360	127	49	32
TAL1	0	19	0	0	7
RP1-18D14.7	0	0	0	3	6
STIL	158	917	821	68	88
CMPK1	2765	4143	3246	1635	1053
LINC01389	4	4	1	4	1
FOXE3	0	0	0	0	0
FOXD2-AS1	21	100	49	43	26
FOXD2	10	81	132	48	38
RP4-666O22.3	0	0	0	0	0
RPL21P24	0	0	0	0	0
ATP6V0E1P4	0	0	0	0	0
RP11-543D5.1	0	0	0	0	2
TRABD2B	54	330	3	26	19
RP11-543D5.2	0	0	0	0	0
RP11-330M19.1	3	0	0	4	4
RP4-683M8.2	0	0	0	0	2
RP11-193P11.3	0	0	0	0	0
CYP46A4P	0	0	0	0	0
SKINT1L	0	0	0	0	0
AL356289.1	0	0	0	0	0
RP5-1024N4.2	0	4	0	0	0
SLC5A9	0	3	0	0	3
RP5-1024N4.4	1	0	0	0	1
RP5-1024N4.5	0	2	0	0	0
SPATA6	91	229	229	23	30
PPP1R8P1	1	0	0	0	1
RNU6-723P	0	0	0	0	0
RP11-329A14.1	3	1	2	1	0
RNU4-61P	0	0	0	0	0
RP11-329A14.2	0	0	0	0	0
AGBL4	0	4	0	0	3
BEND5	12	45	1	1	7
RP11-141A19.1	0	0	0	0	0
RP11-141A19.2	0	0	0	0	0
AGBL4-IT1	0	0	0	0	0
RP5-926E3.1	0	0	0	0	0
ZNF859P	0	0	0	0	0
RP11-93G23.2	0	0	0	0	0
MTND2P29	0	0	0	0	0
ELAVL4	0	2	0	1	1
RP11-492I2.1	0	0	0	0	0
RP11-567C20.2	0	0	0	0	0
RP11-567C20.3	0	0	0	2	0
RP11-183G22.1	0	2	2	0	0
HMGB1P45	0	0	0	0	0
FCF1P6	0	0	0	0	0
DMRTA2	3	1	0	2	17
FAF1	658	1731	1263	513	302
RP5-850O15.3	0	0	0	1	2
RNU6-1026P	0	0	0	0	2
PHBP12	1	2	1	0	7
MRPS6P2	0	0	0	0	1
CDKN2C	49	512	907	134	86
MIR4421	0	0	0	0	0
MIR6500	1	0	0	0	1
C1orf185	0	1	0	0	3
CFL1P2	0	1	2	0	3
LINC01562	7	2	1	6	31
RNF11	2104	2917	3183	1951	1958
RP11-296A18.5	2	1	5	4	7
RP11-296A18.6	1	5	1	2	8
TTC39A	73	205	34	44	75
TTC39A-AS1	0	0	0	3	3
EPS15	703	1514	1274	386	447
RP11-275F13.3	1	3	2	5	2
RNU6-877P	0	0	0	0	0
RP11-253A20.1	0	0	0	0	2
RP11-191G24.1	0	1	1	2	14
RNU6-1281P	0	0	0	0	0
CALR4P	0	1	0	0	2
OSBPL9	1231	2787	1741	404	494
GAPDHP51	0	0	0	0	1
SLC25A6P3	0	0	0	0	0
SNORA26	7	3	1	7	17
NRDC	2272	4404	5497	1807	1391
RP4-657D16.3	13	14	22	0	16
RP4-657D16.6	1	2	0	0	0
TSEN15P2	0	0	0	3	0
RAB3B	62	2670	5278	72	142
RNA5SP48	0	0	0	0	0
RP11-91A18.1	0	0	0	0	0
RN7SL290P	0	0	0	0	0
TXNDC12	653	2046	1322	366	197
KTI12	173	436	292	271	78
RP11-91A18.4	0	0	0	0	0
TXNDC12-AS1	1	0	0	0	1
BTF3L4	862	1167	981	671	460
ZFYVE9	167	574	709	56	117
RN7SL788P	0	0	0	0	0
RP4-800M22.1	3	6	1	2	1
RP4-800M22.2	0	0	0	0	0
PDCL3P6	0	0	0	0	0
RP4-800M22.4	0	0	0	0	0
DNAJC19P7	0	0	0	0	0
ANAPC10P1	0	2	0	0	0
CC2D1B	904	2585	1953	784	412
RP11-155O18.6	0	1	5	14	2
PLA2G12AP1	12	11	6	9	7
ORC1	17	567	374	11	31
PRPF38A	637	1206	844	596	305
ZCCHC11	600	1049	819	261	465
RP11-25O10.2	1	0	0	0	34
EEF1GP7	0	0	0	0	0
GPX7	57	286	150	255	97
FAM159A	0	0	0	0	1
COA7	417	936	626	282	180
NDUFS5P3	0	0	0	0	2
RN7SL62P	0	0	0	0	0
ZYG11B	476	904	929	213	202
RNU2-30P	1	0	0	0	0
RPS13P2	4	11	6	9	1
RNU6-969P	0	0	0	0	0
ZYG11A	9	110	39	0	5
